epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.57126,1.5787,3.07781,1.67823,0.00591,0.33333,0.08726,0.05855,2.49264,3.56782,2.23206,3.334e-05,3.334e-05,3.334e-05
2,10.4812,1.67018,3.1177,1.70565,0.00487,0.29167,0.04492,0.02998,2.30137,3.58905,2.10361,8.16997e-05,8.16997e-05,8.16997e-05
3,14.8969,1.43879,2.95049,1.54605,0.01057,0.66667,0.05268,0.03196,2.21934,3.53427,1.99842,0.000128079,0.000128079,0.000128079
4,19.5147,1.42427,2.72378,1.45234,0.00997,0.66667,0.04124,0.02152,2.08734,3.55977,1.94789,0.000172478,0.000172478,0.000172478
5,25.2449,1.28493,2.44168,1.37082,0.00798,0.58333,0.04013,0.01797,2.08012,3.55417,1.9235,0.000214896,0.000214896,0.000214896
6,30.744,1.37205,2.21648,1.4096,0.00771,0.58333,0.0737,0.02621,2.01641,3.50612,1.87496,0.000255334,0.000255334,0.000255334
7,35.8724,1.50214,1.9655,1.49635,0.00763,0.58333,0.05873,0.02659,2.01234,3.48889,1.87214,0.000293792,0.000293792,0.000293792
8,41.1579,1.47511,1.89295,1.42345,0.0076,0.58333,0.09691,0.03769,2.03666,3.49431,1.91625,0.000330269,0.000330269,0.000330269
9,46.3844,1.38153,1.77045,1.36459,0.00759,0.58333,0.08837,0.02956,2.10827,3.51538,1.97009,0.000364766,0.000364766,0.000364766
10,51.6694,1.26517,1.86049,1.30418,0.0076,0.58333,0.08571,0.02655,2.10355,3.50803,2.00462,0.000397283,0.000397283,0.000397283
11,56.8815,1.27292,1.82423,1.32441,0.00766,0.58333,0.05695,0.0253,2.05312,3.46465,1.953,0.000427819,0.000427819,0.000427819
12,62.1526,1.20264,1.6207,1.2677,0.00761,0.58333,0.1974,0.0491,1.87735,3.37969,1.8058,0.000456375,0.000456375,0.000456375
13,67.4076,1.34674,1.77825,1.41051,0.00765,0.58333,0.26365,0.10682,1.74856,3.29962,1.737,0.00048295,0.00048295,0.00048295
14,72.5005,1.11118,1.64658,1.3329,0.00764,0.58333,0.26362,0.07085,1.7619,3.24603,1.73514,0.000507545,0.000507545,0.000507545
15,77.42,1.24385,1.6936,1.31707,0.00764,0.58333,0.26362,0.07085,1.7619,3.24603,1.73514,0.000530159,0.000530159,0.000530159
16,82.3525,1.26814,1.57733,1.24007,0.00973,0.66667,0.35018,0.1183,1.77354,3.15334,1.78199,0.000550793,0.000550793,0.000550793
17,87.637,1.27799,2.06249,1.44376,0.00972,0.66667,0.39147,0.13306,1.75751,3.09256,1.7444,0.000569447,0.000569447,0.000569447
18,92.5819,1.2574,1.68486,1.31539,0.00972,0.66667,0.39147,0.13306,1.75751,3.09256,1.7444,0.000586121,0.000586121,0.000586121
19,97.5213,1.21438,1.6579,1.26374,0.64246,0.08333,0.23238,0.09403,1.83907,3.07291,1.84354,0.000600813,0.000600813,0.000600813
20,102.496,1.1658,1.48486,1.23299,0.15702,0.08333,0.18618,0.09116,1.80759,3.00759,1.95854,0.000613526,0.000613526,0.000613526
